City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Lompoc,US,2022-11-30 21:22:36,34.6391,-120.4579,65.79,76,100,11.5,overcast clouds
123,Meulaboh,ID,2022-11-30 21:21:17,4.1363,96.1285,75.18,90,100,3.56,overcast clouds
124,Champerico,GT,2022-11-30 21:23:26,14.3,-91.9167,91.94,73,17,8.28,few clouds
125,Baykit,RU,2022-11-30 21:23:26,61.67,96.37,1.69,96,100,5.95,light snow
126,Sangolqui,EC,2022-11-30 21:23:27,-0.3341,-78.4522,68.49,71,42,7.0,light rain
127,Qasigiannguit,GL,2022-11-30 21:23:28,68.8193,-51.1922,23.25,94,100,9.8,light snow
128,Ostrovnoy,RU,2022-11-30 21:23:28,68.0531,39.5131,20.41,93,85,7.52,overcast clouds
129,Port Alfred,ZA,2022-11-30 21:23:29,-33.5906,26.891,66.18,95,100,5.32,overcast clouds
130,Khatanga,RU,2022-11-30 21:24:29,71.9667,102.5,-38.06,100,63,5.64,broken clouds
131,Port Blair,IN,2022-11-30 21:24:29,11.6667,92.75,80.37,83,91,7.05,overcast clouds
132,Tasiilaq,GL,2022-11-30 21:24:30,65.6145,-37.6368,39.36,95,100,22.35,light rain
133,Martil,MA,2022-11-30 21:24:30,35.6166,-5.2752,49.96,81,0,2.3,clear sky
134,Hamilton,US,2022-11-30 21:24:31,39.1834,-84.5333,39.83,50,0,14.97,clear sky
135,Pontes E Lacerda,BR,2022-11-30 21:24:31,-15.2261,-59.3353,73.92,90,100,5.39,overcast clouds
136,College,US,2022-11-30 21:21:10,64.8569,-147.8028,4.21,78,100,0.0,overcast clouds
137,Calama,CL,2022-11-30 21:24:32,-22.4667,-68.9333,72.09,12,0,27.63,clear sky
138,Cayenne,GF,2022-11-30 21:24:33,4.9333,-52.3333,80.64,83,40,4.61,scattered clouds
139,Pangnirtung,CA,2022-11-30 21:21:07,66.1451,-65.7125,-5.8,54,20,4.61,few clouds
140,Saldanha,ZA,2022-11-30 21:19:50,-33.0117,17.9442,62.65,91,10,10.09,clear sky
141,Cherskiy,RU,2022-11-30 21:24:34,68.75,161.3,1.44,95,100,3.0,overcast clouds
142,Inuvik,CA,2022-11-30 21:24:34,68.3499,-133.7218,0.46,85,75,4.61,light snow
143,Airai,TL,2022-11-30 21:24:35,-8.9266,125.4092,60.53,92,100,1.1,overcast clouds
144,Vanimo,PG,2022-11-30 21:24:35,-2.6741,141.3028,77.45,89,100,5.19,overcast clouds
145,Pisco,PE,2022-11-30 21:20:35,-13.7,-76.2167,73.45,68,0,19.57,clear sky
146,Kudahuvadhoo,MV,2022-11-30 21:21:17,2.6708,72.8944,79.75,69,23,4.21,few clouds
147,Praia Da Vitoria,PT,2022-11-30 21:24:15,38.7333,-27.0667,60.76,100,75,6.26,broken clouds
148,Port Elizabeth,ZA,2022-11-30 21:24:37,-33.918,25.5701,67.1,89,0,8.05,clear sky
149,Vyartsilya,RU,2022-11-30 21:24:37,62.1764,30.693,26.62,100,100,4.03,snow
150,San Quintin,MX,2022-11-30 21:24:38,30.4833,-115.95,61.14,62,14,11.1,few clouds
151,Micheweni,TZ,2022-11-30 21:24:38,-4.9667,39.8333,78.51,83,48,7.61,scattered clouds
152,Provideniya,RU,2022-11-30 21:24:38,64.3833,-173.3,32.11,69,0,8.95,clear sky
153,Tura,IN,2022-11-30 21:24:39,25.5198,90.2201,61.14,88,2,3.49,clear sky
154,Milkovo,RU,2022-11-30 21:24:39,54.7167,158.6167,7.81,95,69,3.47,broken clouds
155,Narsaq,GL,2022-11-30 21:24:40,60.9167,-46.05,28.62,87,99,3.8,overcast clouds
156,Amilly,FR,2022-11-30 21:22:54,47.9728,2.7719,44.15,87,100,10.65,overcast clouds
157,Waipawa,NZ,2022-11-30 21:24:41,-41.4122,175.5153,53.96,71,91,13.27,overcast clouds
158,Cabo San Lucas,MX,2022-11-30 21:19:42,22.8909,-109.9124,82.62,61,20,9.22,few clouds
159,Lashio,MM,2022-11-30 21:24:42,22.9333,97.75,59.47,95,2,1.34,clear sky
160,Hobyo,SO,2022-11-30 21:20:32,5.3505,48.5268,79.5,76,10,12.3,clear sky
161,Engis,BE,2022-11-30 21:24:42,50.5816,5.3992,43.88,93,75,6.91,broken clouds
162,Bata,GQ,2022-11-30 21:24:43,1.8639,9.7658,79.34,84,90,4.0,overcast clouds
163,Esperance,AU,2022-11-30 21:24:43,-33.8667,121.9,65.25,63,20,13.69,few clouds
164,La Ronge,CA,2022-11-30 21:24:44,55.1001,-105.2842,-10.95,58,75,4.61,broken clouds
165,Sorkjosen,NO,2022-11-30 21:24:44,69.8,20.9333,30.2,74,100,9.22,overcast clouds
166,Luyang,CN,2022-11-30 21:24:45,27.6239,110.0989,27.7,89,100,5.06,snow
167,Bonthe,SL,2022-11-30 21:24:45,7.5264,-12.505,79.2,79,27,5.55,scattered clouds
168,Georgetown,MY,2022-11-30 21:24:46,5.4112,100.3354,80.24,89,20,4.61,few clouds
169,Nanortalik,GL,2022-11-30 21:21:46,60.1432,-45.2371,29.73,84,100,25.32,overcast clouds
170,Norman Wells,CA,2022-11-30 21:24:46,65.282,-126.8329,-12.96,77,75,0.0,light snow
171,Margate,GB,2022-11-30 21:21:33,51.3813,1.3862,48.69,90,74,1.99,broken clouds
172,Juneau,US,2022-11-30 21:20:44,58.3019,-134.4197,19.4,100,0,10.36,clear sky
173,Kaitangata,NZ,2022-11-30 21:24:47,-46.2817,169.8464,58.24,51,12,10.42,few clouds
174,Geraldton,AU,2022-11-30 21:25:48,-28.7667,114.6,68.41,68,100,9.22,overcast clouds
175,Qaanaaq,GL,2022-11-30 21:25:49,77.484,-69.3632,-21.98,77,17,5.19,few clouds
176,Bondo,CD,2022-11-30 21:25:49,3.8146,23.6866,68.36,99,100,1.63,overcast clouds
177,Verkhoyansk,RU,2022-11-30 21:25:50,67.5447,133.385,-20.97,99,100,3.13,overcast clouds
178,Carutapera,BR,2022-11-30 21:25:50,-1.195,-46.02,79.32,75,99,6.6,light rain
179,San Rafael,AR,2022-11-30 21:23:57,-34.6177,-68.3301,83.86,16,6,11.74,clear sky
180,Phuket,TH,2022-11-30 21:21:04,8.0,98.25,86.09,100,20,0.0,few clouds
181,Saskylakh,RU,2022-11-30 21:21:12,71.9167,114.0833,-27.96,100,100,8.39,overcast clouds
182,Hami,CN,2022-11-30 21:25:52,42.8,93.45,10.99,22,83,1.54,broken clouds
183,Anchorage,US,2022-11-30 21:21:49,61.2181,-149.9003,15.67,88,75,5.75,broken clouds
184,Isangel,VU,2022-11-30 21:25:52,-19.55,169.2667,86.11,84,40,4.61,scattered clouds
185,Garden City,US,2022-11-30 21:25:53,42.3256,-83.331,33.89,62,100,25.32,overcast clouds
186,Nyurba,RU,2022-11-30 21:25:53,63.2842,118.3319,-24.39,97,99,5.26,overcast clouds
187,Carauari,BR,2022-11-30 21:25:54,-4.8828,-66.8958,83.5,73,100,0.94,overcast clouds
188,Hastings,GB,2022-11-30 21:25:54,50.8552,0.5729,47.91,94,79,6.62,broken clouds
189,Junin,AR,2022-11-30 21:25:54,-34.5838,-60.9433,71.89,73,100,7.85,overcast clouds
190,Krasnyy Kholm,RU,2022-11-30 21:25:55,58.0607,37.1203,4.44,98,92,3.85,overcast clouds
191,Piacabucu,BR,2022-11-30 21:25:55,-10.4056,-36.4344,74.95,86,100,9.53,overcast clouds
192,Muravlenko,RU,2022-11-30 21:25:56,63.7898,74.523,-18.2,100,12,4.32,few clouds
193,Igunga,TZ,2022-11-30 21:25:56,-4.2833,33.8833,75.65,55,100,5.26,overcast clouds
194,Yatou,CN,2022-11-30 21:25:57,37.15,122.3833,27.84,70,53,10.49,broken clouds
195,Lindau,DE,2022-11-30 21:25:57,47.55,9.6833,41.4,80,100,11.01,overcast clouds
